"h_angle","c_value","size"
1,35,17.5
2,35,17.5
3,35,17.5
4,35,17.5
5,35,17.5
6,35,17.5
7,35,17.5
8,35,17.5
9,35,17.5
10,35,17.5
11,35,17.5
12,35,17.5
13,35,17.5
14,35,17.5
15,35,17.5
16,35,17.5
17,35,17.5
18,35,17.5
19,35,17.5
20,35,17.5
21,35,17.5
22,35,17.5
23,35,15
24,35,15
25,35,15
26,35,15
27,35,15
28,35,15
29,35,15
30,35,15
31,35,15
32,35,15
33,35,15
34,35,15
35,35,15
36,35,15
37,35,15
38,35,15
39,35,15
40,35,15
41,35,15
42,35,15
43,35,15
44,35,15
45,35,15
46,35,15
47,35,15
48,35,15
49,35,15
50,35,15
51,35,17.5
52,35,17.5
53,35,17.5
54,35,17.5
55,35,17.5
56,35,17.5
57,35,17.5
58,35,17.5
59,35,17.5
