"h_angle","c_value","size"
1,29,20
2,29,20
3,29,20
4,29,20
5,29,20
6,29,20
7,29,20
8,29,20
9,29,20
10,29,20
11,29,20
12,29,20
13,29,20
14,29,20
15,29,20
16,29,20
17,29,20
18,29,20
19,29,20
20,29,20
21,29,20
22,29,20
23,29,20
24,29,20
25,29,20
26,29,20
27,29,20
28,29,20
29,29,20
30,29,20
31,29,20
32,29,20
33,29,20
34,29,20
35,29,20
36,29,20
37,29,20
38,29,20
39,29,20
40,29,20
41,29,20
42,29,20
43,29,20
44,29,20
45,29,20
46,29,20
47,29,20
48,29,20
49,29,20
50,29,20
51,29,20
52,29,20
53,29,20
54,29,20
55,29,20
56,29,20
57,29,20
58,29,20
59,29,20
