"h_angle","c_value","size"
1,17,22.5
2,17,25
3,17,25
4,17,25
5,17,25
6,17,25
7,17,25
8,17,25
9,17,25
10,17,25
11,17,25
12,17,25
13,17,25
14,17,25
15,17,25
16,17,25
17,17,25
18,17,25
19,17,25
20,17,22.5
21,17,22.5
22,17,22.5
23,17,22.5
24,17,22.5
25,17,22.5
26,17,22.5
27,17,25
28,17,25
29,17,25
30,17,25
31,17,25
32,17,25
33,17,25
34,17,25
35,17,25
36,17,25
37,17,25
38,17,25
39,17,25
40,17,22.5
41,17,22.5
42,17,22.5
43,17,22.5
44,17,22.5
45,17,22.5
46,17,22.5
47,17,22.5
48,17,22.5
49,17,22.5
50,17,22.5
51,17,22.5
52,17,22.5
53,17,22.5
54,17,22.5
55,17,22.5
56,17,22.5
57,17,22.5
58,17,22.5
59,17,22.5
