"h_angle","c_value","size"
1,27,20
2,27,20
3,27,20
4,27,20
5,27,20
6,27,20
7,27,20
8,27,20
9,27,20
10,27,22.5
11,27,22.5
12,27,22.5
13,27,22.5
14,27,22.5
15,27,22.5
16,27,22.5
17,27,22.5
18,27,22.5
19,27,22.5
20,27,20
21,27,20
22,27,20
23,27,20
24,27,20
25,27,20
26,27,20
27,27,20
28,27,20
29,27,20
30,27,20
31,27,20
32,27,20
33,27,20
34,27,20
35,27,20
36,27,20
37,27,20
38,27,20
39,27,20
40,27,20
41,27,20
42,27,20
43,27,20
44,27,20
45,27,20
46,27,20
47,27,20
48,27,20
49,27,20
50,27,20
51,27,20
52,27,20
53,27,20
54,27,20
55,27,20
56,27,20
57,27,20
58,27,20
59,27,20
