"h_angle","c_value","size"
1,13,NA
2,13,NA
3,13,NA
4,13,NA
5,13,NA
6,13,NA
7,13,NA
8,13,NA
9,13,NA
10,13,NA
11,13,NA
12,13,NA
13,13,NA
14,13,NA
15,13,NA
16,13,NA
17,13,NA
18,13,NA
19,13,NA
20,13,NA
21,13,NA
22,13,NA
23,13,NA
24,13,NA
25,13,NA
26,13,NA
27,13,NA
28,13,NA
29,13,NA
30,13,NA
31,13,NA
32,13,NA
33,13,NA
34,13,NA
35,13,NA
36,13,NA
37,13,NA
38,13,NA
39,13,NA
40,13,NA
41,13,NA
42,13,NA
43,13,NA
44,13,NA
45,13,NA
46,13,NA
47,13,NA
48,13,NA
49,13,NA
50,13,NA
51,13,NA
52,13,NA
53,13,NA
54,13,NA
55,13,NA
56,13,NA
57,13,NA
58,13,NA
59,13,NA
