"h_angle","c_value","size"
1,11,NA
2,11,NA
3,11,NA
4,11,NA
5,11,NA
6,11,NA
7,11,NA
8,11,NA
9,11,NA
10,11,NA
11,11,NA
12,11,NA
13,11,NA
14,11,NA
15,11,NA
16,11,NA
17,11,NA
18,11,NA
19,11,NA
20,11,NA
21,11,NA
22,11,NA
23,11,NA
24,11,NA
25,11,NA
26,11,NA
27,11,NA
28,11,NA
29,11,NA
30,11,NA
31,11,NA
32,11,NA
33,11,NA
34,11,NA
35,11,NA
36,11,NA
37,11,NA
38,11,NA
39,11,NA
40,11,NA
41,11,NA
42,11,NA
43,11,NA
44,11,NA
45,11,NA
46,11,NA
47,11,NA
48,11,NA
49,11,NA
50,11,NA
51,11,NA
52,11,NA
53,11,NA
54,11,NA
55,11,NA
56,11,NA
57,11,NA
58,11,NA
59,11,NA
