"h_angle","c_value","size"
1,12,NA
2,12,NA
3,12,NA
4,12,NA
5,12,NA
6,12,NA
7,12,NA
8,12,NA
9,12,NA
10,12,NA
11,12,NA
12,12,NA
13,12,NA
14,12,NA
15,12,NA
16,12,NA
17,12,NA
18,12,NA
19,12,NA
20,12,NA
21,12,NA
22,12,NA
23,12,NA
24,12,NA
25,12,NA
26,12,NA
27,12,NA
28,12,NA
29,12,NA
30,12,NA
31,12,NA
32,12,NA
33,12,NA
34,12,NA
35,12,NA
36,12,NA
37,12,NA
38,12,NA
39,12,NA
40,12,NA
41,12,NA
42,12,NA
43,12,NA
44,12,NA
45,12,NA
46,12,NA
47,12,NA
48,12,NA
49,12,NA
50,12,NA
51,12,NA
52,12,NA
53,12,NA
54,12,NA
55,12,NA
56,12,NA
57,12,NA
58,12,NA
59,12,NA
