"h_angle","c_value","size"
1,25,20
2,25,22.5
3,25,22.5
4,25,22.5
5,25,22.5
6,25,22.5
7,25,22.5
8,25,22.5
9,25,22.5
10,25,22.5
11,25,22.5
12,25,22.5
13,25,22.5
14,25,22.5
15,25,22.5
16,25,22.5
17,25,22.5
18,25,22.5
19,25,22.5
20,25,22.5
21,25,22.5
22,25,22.5
23,25,22.5
24,25,20
25,25,20
26,25,20
27,25,20
28,25,20
29,25,20
30,25,20
31,25,20
32,25,20
33,25,20
34,25,20
35,25,20
36,25,20
37,25,20
38,25,20
39,25,20
40,25,20
41,25,20
42,25,20
43,25,20
44,25,20
45,25,20
46,25,20
47,25,20
48,25,20
49,25,20
50,25,20
51,25,20
52,25,20
53,25,20
54,25,20
55,25,20
56,25,20
57,25,20
58,25,20
59,25,20
