"h_angle","c_value","size"
1,22,23
2,22,23
3,22,23
4,22,23
5,22,23
6,22,23
7,22,23
8,22,24
9,22,24
10,22,24
11,22,24
12,22,24
13,22,24
14,22,24
15,22,24
16,22,24
17,22,25
18,22,25
19,22,25
20,22,25
21,22,25
22,22,25
23,22,25
24,22,25
25,22,25
26,22,25
27,22,25
28,22,24
29,22,24
30,22,24
31,22,24
32,22,24
33,22,24
34,22,24
35,22,24
36,22,24
37,22,23
38,22,23
39,22,23
40,22,23
41,22,23
42,22,23
43,22,23
44,22,23
45,22,23
46,22,23
47,22,23
48,22,23
49,22,23
50,22,23
51,22,23
52,22,23
53,22,23
54,22,23
55,22,23
56,22,23
57,22,23
58,22,23
59,22,23
