"h_angle","c_value","size"
1,18,25
2,18,25
3,18,25
4,18,25
5,18,25
6,18,25
7,18,25
8,18,25
9,18,25
10,18,25
11,18,25
12,18,25
13,18,25
14,18,25
15,18,25
16,18,25
17,18,25
18,18,25
19,18,25
20,18,25
21,18,25
22,18,25
23,18,25
24,18,25
25,18,25
26,18,25
27,18,25
28,18,25
29,18,25
30,18,25
31,18,25
32,18,25
33,18,25
34,18,25
35,18,25
36,18,25
37,18,25
38,18,25
39,18,25
40,18,25
41,18,25
42,18,25
43,18,25
44,18,25
45,18,25
46,18,25
47,18,25
48,18,25
49,18,24
50,18,24
51,18,24
52,18,24
53,18,24
54,18,24
55,18,24
56,18,25
57,18,25
58,18,25
59,18,25
