"h_angle","c_value","size"
1,25,22
2,25,22
3,25,22
4,25,22
5,25,22
6,25,22
7,25,22
8,25,23
9,25,23
10,25,23
11,25,23
12,25,23
13,25,23
14,25,23
15,25,24
16,25,24
17,25,24
18,25,24
19,25,24
20,25,24
21,25,24
22,25,24
23,25,24
24,25,23
25,25,23
26,25,23
27,25,23
28,25,23
29,25,22
30,25,22
31,25,22
32,25,22
33,25,22
34,25,22
35,25,22
36,25,22
37,25,22
38,25,22
39,25,22
40,25,22
41,25,22
42,25,22
43,25,22
44,25,22
45,25,21
46,25,21
47,25,21
48,25,21
49,25,21
50,25,22
51,25,22
52,25,22
53,25,22
54,25,22
55,25,22
56,25,22
57,25,22
58,25,22
59,25,22
