"h_angle","c_value","size"
1,12,20
2,12,20
3,12,20
4,12,20
5,12,20
6,12,20
7,12,20
8,12,20
9,12,20
10,12,20
11,12,20
12,12,20
13,12,20
14,12,20
15,12,20
16,12,20
17,12,20
18,12,20
19,12,20
20,12,20
21,12,20
22,12,20
23,12,20
24,12,20
25,12,20
26,12,20
27,12,20
28,12,20
29,12,20
30,12,20
31,12,20
32,12,20
33,12,20
34,12,20
35,12,20
36,12,20
37,12,20
38,12,20
39,12,20
40,12,20
41,12,20
42,12,20
43,12,20
44,12,20
45,12,20
46,12,20
47,12,20
48,12,20
49,12,20
50,12,20
51,12,20
52,12,20
53,12,20
54,12,20
55,12,20
56,12,20
57,12,20
58,12,20
59,12,20
