"h_angle","c_value","size"
1,20,24
2,20,24
3,20,24
4,20,24
5,20,24
6,20,24
7,20,24
8,20,24
9,20,24
10,20,24
11,20,25
12,20,25
13,20,25
14,20,25
15,20,25
16,20,25
17,20,25
18,20,25
19,20,25
20,20,25
21,20,25
22,20,25
23,20,25
24,20,25
25,20,25
26,20,25
27,20,25
28,20,25
29,20,25
30,20,25
31,20,25
32,20,25
33,20,25
34,20,25
35,20,24
36,20,24
37,20,24
38,20,24
39,20,24
40,20,24
41,20,24
42,20,24
43,20,24
44,20,24
45,20,24
46,20,24
47,20,24
48,20,24
49,20,24
50,20,24
51,20,24
52,20,24
53,20,24
54,20,24
55,20,24
56,20,24
57,20,24
58,20,24
59,20,24
