"h_angle","c_value","size"
1,16,25
2,16,25
3,16,25
4,16,25
5,16,25
6,16,25
7,16,25
8,16,25
9,16,25
10,16,25
11,16,25
12,16,25
13,16,25
14,16,25
15,16,25
16,16,25
17,16,25
18,16,25
19,16,25
20,16,25
21,16,25
22,16,25
23,16,25
24,16,25
25,16,25
26,16,25
27,16,25
28,16,25
29,16,25
30,16,25
31,16,25
32,16,25
33,16,25
34,16,25
35,16,25
36,16,25
37,16,25
38,16,25
39,16,25
40,16,25
41,16,25
42,16,25
43,16,25
44,16,25
45,16,25
46,16,25
47,16,25
48,16,25
49,16,25
50,16,25
51,16,25
52,16,25
53,16,25
54,16,25
55,16,25
56,16,25
57,16,25
58,16,25
59,16,25
