"h_angle","c_value","size"
1,13,22
2,13,22
3,13,22
4,13,22
5,13,22
6,13,22
7,13,22
8,13,22
9,13,22
10,13,22
11,13,22
12,13,22
13,13,22
14,13,22
15,13,22
16,13,22
17,13,22
18,13,22
19,13,22
20,13,22
21,13,22
22,13,22
23,13,22
24,13,22
25,13,22
26,13,22
27,13,22
28,13,22
29,13,22
30,13,22
31,13,22
32,13,22
33,13,22
34,13,22
35,13,22
36,13,22
37,13,22
38,13,22
39,13,22
40,13,22
41,13,22
42,13,22
43,13,22
44,13,22
45,13,22
46,13,22
47,13,22
48,13,22
49,13,22
50,13,22
51,13,22
52,13,22
53,13,22
54,13,22
55,13,22
56,13,22
57,13,22
58,13,22
59,13,22
