"h_angle","c_value","size"
1,19,24
2,19,24
3,19,24
4,19,24
5,19,24
6,19,24
7,19,24
8,19,25
9,19,25
10,19,25
11,19,25
12,19,25
13,19,25
14,19,25
15,19,25
16,19,25
17,19,25
18,19,25
19,19,25
20,19,25
21,19,25
22,19,25
23,19,25
24,19,25
25,19,25
26,19,25
27,19,25
28,19,25
29,19,26
30,19,26
31,19,25
32,19,25
33,19,25
34,19,25
35,19,25
36,19,25
37,19,25
38,19,25
39,19,24
40,19,24
41,19,24
42,19,24
43,19,24
44,19,24
45,19,24
46,19,24
47,19,24
48,19,24
49,19,24
50,19,24
51,19,24
52,19,24
53,19,24
54,19,24
55,19,24
56,19,24
57,19,24
58,19,24
59,19,24
