"h_angle","c_value","size"
1,15,25
2,15,25
3,15,25
4,15,25
5,15,25
6,15,25
7,15,25
8,15,25
9,15,25
10,15,25
11,15,25
12,15,25
13,15,25
14,15,25
15,15,25
16,15,25
17,15,25
18,15,25
19,15,25
20,15,25
21,15,25
22,15,25
23,15,25
24,15,25
25,15,25
26,15,25
27,15,25
28,15,25
29,15,25
30,15,25
31,15,25
32,15,25
33,15,25
34,15,25
35,15,25
36,15,25
37,15,25
38,15,25
39,15,25
40,15,25
41,15,25
42,15,25
43,15,25
44,15,25
45,15,25
46,15,25
47,15,25
48,15,25
49,15,25
50,15,25
51,15,25
52,15,25
53,15,25
54,15,25
55,15,25
56,15,25
57,15,25
58,15,25
59,15,25
