"h_angle","c_value","size"
1,17,25
2,17,25
3,17,25
4,17,25
5,17,25
6,17,25
7,17,25
8,17,25
9,17,25
10,17,25
11,17,25
12,17,25
13,17,25
14,17,25
15,17,25
16,17,25
17,17,25
18,17,25
19,17,25
20,17,25
21,17,25
22,17,25
23,17,25
24,17,25
25,17,25
26,17,25
27,17,25
28,17,25
29,17,25
30,17,25
31,17,25
32,17,25
33,17,25
34,17,25
35,17,25
36,17,25
37,17,25
38,17,25
39,17,25
40,17,25
41,17,25
42,17,25
43,17,25
44,17,25
45,17,25
46,17,25
47,17,25
48,17,25
49,17,25
50,17,25
51,17,25
52,17,25
53,17,25
54,17,25
55,17,25
56,17,25
57,17,25
58,17,25
59,17,25
